source,url,title,price,period,bedrooms,bathrooms,toilets,size_sqm,furnishing,condition,property_type_clean,neighborhood
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-eneka-port-harcourt-for-rent-1b7ndQFe8XRHGIvJJ9zwceHF.html?page=7&pos=7&cur_pos=7&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=150,"2bdrm Block of Flats in Eneka, Port-Harcourt for rent",3000000.0,per annum,2.0,3.0,3.0,555.0,Unfurnished,Newly-Built,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-ada-george-port-harcourt-for-rent-ilLQCl9MuGwI19G4aj4mYHZI.html?page=8&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=179,"2bdrm Block of Flats in Ada George, Port-Harcourt for rent",2000000.0,per annum,2.0,3.0,3.0,456.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-asnDJtIvam4GOSi5tq3rMyGi.html?page=8&pos=19&cur_pos=19&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=453,4bdrm Duplex in Ikota for rent,15000000.0,per annum,4.0,4.0,5.0,300.0,Unfurnished,Newly-Built,Duplex,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-naf-harmony-estate-port-harcourt-for-rent-bxhgbEyqSbLV0eRUj2jOSLFS.html?page=5&pos=5&cur_pos=5&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=100,"4bdrm Duplex in Naf Harmony Estate, Port-Harcourt for rent",15000000.0,per annum,4.0,5.0,5.0,465.0,Unfurnished,Fairly Used,Duplex,SARS Rd / Rumuagholu / NAF Estate
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-bungalow-in-nta-port-harcourt-for-rent-icc68jl8J4Mjjuf0t74Mky3v.html?page=2&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=35,"4bdrm Bungalow in Nta, Port-Harcourt for rent",4000000.0,per annum,4.0,5.0,5.0,526.0,Unfurnished,Fairly Used,Bungalow,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-stadium-road-port-harcourt-for-rent-XFnPW1PzvLaKed10qPVXkvo.html?page=6&pos=13&cur_pos=13&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=132,"3bdrm Block of Flats in Stadium Road, Port-Harcourt for rent",3500000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Peter Odili / Trans Amadi / Abuloma
Jiji,https://jiji.ng/shell-location/houses-apartments-for-rent/3bdrm-block-of-flats-in-shell-location-for-rent-pUHhgBnXx95avP2lZfMteXJm.html?page=5&pos=24&cur_pos=24&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=119,3bdrm Block of Flats in Shell Location for rent,3500000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Renovated,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-oGv1g8W26uPftNvd6XwNozYh.html?page=3&pos=3&cur_pos=3&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=317,4bdrm Duplex in Ikota for rent,15000000.0,per annum,4.0,4.0,5.0,300.0,Unfurnished,Newly-Built,Duplex,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-port-harcourt-for-rent-AQxrbU0GuMcYAS7uLVPpM2yD.html?page=8&pos=17&cur_pos=17&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=184,Furnished 2bdrm Block of Flats in Port-Harcourt for rent,8000000.0,per annum,2.0,3.0,3.0,465.0,Furnished,Renovated,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-duplex-in-mercy-land-port-harcourt-for-rent-pmRBeYAzLche6DivnJGOAeh.html?page=7&pos=23&cur_pos=23&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=166,"2bdrm Duplex in Mercy Land, Port-Harcourt for rent",4000000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Duplex,Ada George / Agip / NTA
